,syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type
852,43876933,864691136966141134,864691135565939991,2100,23P,E,23P,E
853,296415452,864691135489356858,864691136117423524,1292,23P,E,4P,E
854,276011117,864691136389000823,864691135571894509,13560,23P,E,23P,E
855,351938670,864691135209184121,864691135501545026,2708,23P,E,4P,E
856,116369872,864691135865932252,864691135759579214,6556,23P,E,23P,E
857,128440572,864691136056384728,864691135741429867,2952,NGC,I,BPC,I
858,174259183,864691135942390388,864691135578139397,3624,23P,E,BC,I
859,152188045,864691136066362520,864691135257669039,180,23P,E,23P,E
860,316596577,864691134948160764,864691135940028326,340,BC,I,BC,I
861,94702734,864691135927312340,864691136135221387,15108,23P,E,23P,E
862,128136926,864691135856316462,864691136194925132,1468,5P-IT,E,6P-CT,E
863,436194357,864691136594485922,864691135582335085,1780,23P,E,23P,E
864,277154942,864691135837373075,864691136066630296,524,23P,E,23P,E
865,155130616,864691135463809598,864691135498698259,5820,4P,E,BPC,I
866,429364875,864691135065413700,864691135915909478,1052,23P,E,23P,E
867,117211407,864691136619117197,864691135777108669,24048,6P-CT,E,6P-CT,E
868,44528955,864691135323799964,864691135474591808,196,4P,E,4P,E
869,47561032,864691136136633981,864691136601571281,11344,4P,E,5P-IT,E
870,251628085,864691136578524948,864691137054660214,7504,4P,E,5P-IT,E
871,434126115,864691136057030616,864691135859071848,17024,6P-IT,E,6P-IT,E
872,65022259,864691135719733553,864691135572105765,14592,BC,I,23P,E
873,366325439,864691135491884383,864691135591398411,184,5P-IT,E,5P-IT,E
874,423504609,864691136236685327,864691135323800476,3900,6P-CT,E,6P-CT,E
875,133861773,864691135437154546,864691136912440817,1440,23P,E,23P,E
876,147004899,864691135368065785,864691136286776771,1408,6P-IT,E,MC,I
877,380253967,864691136423472431,864691135976518467,2592,5P-IT,E,5P-ET,E
878,397962548,864691135490947687,864691135349302487,360,4P,E,MC,I
879,473165159,864691135851612615,864691135479258054,6436,4P,E,MC,I
880,254862380,864691135136020249,864691135725036203,8064,4P,E,5P-IT,E
881,104133960,864691136210266812,864691135755601106,9224,4P,E,4P,E
882,284141385,864691135213682816,864691135661361136,11668,23P,E,4P,E
883,499718579,864691135474658624,864691135866718817,2224,6P-IT,E,6P-IT,E
884,39317388,864691136311738685,864691135684245746,4936,4P,E,23P,E
885,147687608,864691135890158729,864691135700757026,3360,23P,E,BC,I
886,295486833,864691135278210977,864691135345960607,6384,23P,E,23P,E
887,60486803,864691136617108187,864691136287460803,8784,5P-IT,E,6P-CT,E
888,175239363,864691135585266808,864691136238652476,10708,5P-ET,E,6P-IT,E
889,55892528,864691135749550633,864691136321226718,228,6P-CT,E,6P-CT,E
890,125297644,864691135182813442,864691136965988558,11348,4P,E,6P-CT,E
891,146531450,864691135493960080,864691135463409309,10876,6P-IT,E,4P,E
892,217648165,864691136487737618,864691136135534987,196,6P-IT,E,5P-IT,E
893,215634799,864691135013686934,864691135989090184,3164,4P,E,4P,E
894,421632569,864691136522333329,864691136952366815,544,6P-CT,E,5P-ET,E
895,7423295,864691136371231368,864691136903578290,428,BC,I,BC,I
896,371273878,864691136024821049,864691135754694349,4180,4P,E,4P,E
897,295647348,864691136974359068,864691135304378279,15140,23P,E,23P,E
898,125386736,864691135477454760,864691136923964644,8176,MC,I,BC,I
899,93333618,864691135279030689,864691137020958830,2668,23P,E,23P,E
900,383979176,864691135269990565,864691135926582030,9132,23P,E,23P,E
901,451844285,864691135915181670,864691135374452424,7020,23P,E,6P-IT,E
902,472556925,864691135544382504,864691136556334754,3144,4P,E,4P,E
903,467171617,864691135459719108,864691136205491390,7840,BC,I,MC,I
904,477931632,864691135349287127,864691135661113584,6464,6P-IT,E,6P-CT,E
905,96812824,864691136273637133,864691135359817816,5520,5P-IT,E,6P-IT,E
906,327488557,864691136272992958,864691136578820884,2364,4P,E,5P-ET,E
907,334978098,864691135516194259,864691136309644122,392,6P-CT,E,6P-CT,E
908,253881429,864691136741627484,864691136423542319,1176,6P-CT,E,6P-CT,E
909,258370970,864691135582549869,864691136274575885,2268,23P,E,4P,E
910,308025795,864691135867644438,864691134948396540,5580,6P-CT,E,6P-IT,E
911,441885028,864691135570033286,864691135408202953,2840,4P,E,BC,I
912,97368645,864691135919158960,864691135865195996,1688,MC,I,MC,I
913,257940692,864691136194928616,864691136419351959,3564,4P,E,MC,I
914,100346742,864691135490886247,864691135910666665,3708,6P-IT,E,BC,I
915,73642524,864691135575562014,864691135800660834,5228,23P,E,23P,E
916,9380969,864691136144835991,864691135467558540,17864,NGC,I,4P,E
917,459702572,864691136006207395,864691135938398468,2016,6P-CT,E,MC,I
918,470619735,864691136389053559,864691135572157733,2196,6P-CT,E,6P-IT,E
919,195419756,864691135291740086,864691134941126755,192,23P,E,4P,E
920,146540534,864691135114328985,864691134965736479,172,MC,I,BC,I
921,383567550,864691136724624125,864691136106533593,852,BC,I,23P,E
922,100459397,864691135123231271,864691135518111114,2592,6P-CT,E,6P-CT,E
923,491371017,864691135584575096,864691135492146015,1512,23P,E,4P,E
924,275171559,864691135212600704,864691135885170544,2796,BC,I,6P-IT,E
925,310109026,864691135749854761,864691135162807597,7128,NGC,I,5P-ET,E
926,88850833,864691135544813608,864691135867381526,8912,23P,E,4P,E
927,359872488,864691136267378676,864691135759530830,2640,4P,E,4P,E
928,39157349,864691136912127729,864691135135390489,3748,23P,E,23P,E
