syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length
388188167,864691135355907791,864691135783909427,13864,5P-IT,E,MC,I,13241,5019,8222,0.6104354171734371,535.5401512639274,0.5801583880482482,134.94329955555557,135.0,6.568222118681777,74.16355872668771,0.0,0.0,0.0,170.29337890136395,116.92429099786963
435916110,864691135584638840,864691136334609075,768,6P-IT,E,6P-IT,E,21344,7760,13584,0.5712603062426383,630.39696961967,0.6749279954353071,126.11776118518519,127.0,5.989101423320477,72.79858107899325,0.0,0.0,0.0,177.09903889658415,159.13916264294815
115492555,864691135341263557,864691135809429196,2876,23P,E,23P,E,19881,6782,13099,0.5177494465226353,674.1076477383247,0.5497808151558258,130.11230933333334,129.0,8.509036448406654,76.63997550505697,0.0,0.0,0.0,179.8799632645432,159.00193611180475
103664256,864691136618401165,864691135946397988,2976,6P-IT,E,23P,E,3202,2515,687,3.660844250363901,266.69343417595167,0.5657265279438871,131.80312651851852,132.0,6.0112299797401185,33.883560204450994,0.0,0.0,0.0,88.14116392325187,51.30479402622446
78192944,864691135394910965,864691135975364463,4428,4P,E,BC,I,10555,3818,6737,0.5667210924743952,557.2680733252853,0.4271100364455868,132.5046074074074,133.0,9.360593655672263,71.98124054028422,0.0,0.0,0.0,161.2662168374614,101.84913396339819
307249782,864691135946700385,864691135716095258,14596,5P-ET,E,6P-CT,E,8916,4935,3981,1.239638281838734,387.60512242138304,0.7457631295819213,125.73774577777777,123.0,8.760797810615323,57.14811909207085,0.0,0.0,0.0,133.17132662687513,87.41799353079516
310042651,864691136483698476,864691136363080930,5792,23P,E,4P,E,5852,2706,3146,0.8601398601398601,510.5817818242701,0.28208731188305564,130.27733925925926,129.0,7.550472085442824,33.57496892377228,0.0,0.0,0.0,49.47661732933332,22.849450221743744
278526036,864691135464412997,864691135945448484,5296,6P-IT,E,4P,E,5106,4119,987,4.173252279635259,584.842712474619,0.1875912205534402,133.39965155555555,132.0,8.831124426376407,11.466509086235265,0.0,0.0,0.0,59.28978319984848,32.615925684851035
103187496,864691135749497641,864691135848618334,2348,4P,E,23P,E,9009,6621,2388,2.772613065326633,689.2213921310594,0.23832464435440484,122.89598933333333,123.0,7.965095382221498,47.64519298318527,0.0,0.0,0.0,182.36324493646032,91.69852814970294
147874439,864691135207776633,864691135801405282,9164,5P-IT,E,BC,I,15403,7028,8375,0.8391641791044776,659.1614716074871,0.44548342516251616,126.8749522962963,126.0,8.052527578663224,81.60830593709723,0.0,0.0,0.0,186.69307026255296,123.89290369867675
353700050,864691135937915396,864691135342310085,17632,5P-IT,E,5P-IT,E,8171,4333,3838,1.1289734236581552,351.60512242138304,0.8305670299472006,132.16673718518518,131.0,5.637867226108171,45.470214766979446,0.0,0.0,0.0,109.61493630208092,97.21016448068038
216718710,864691136912519153,864691135783544627,5112,23P,E,23P,E,6467,2367,4100,0.5773170731707317,411.85385976291224,0.4791003014905329,134.69341303703703,134.0,6.057408368093144,59.550656691503356,0.0,0.0,0.0,145.86250188752825,65.46942796475511
97128903,864691135926300372,864691135658888578,14260,23P,E,5P-IT,E,6596,3159,3437,0.9191155077102124,353.32085117392114,0.6639753781804993,134.77201303703703,134.0,7.3388584855306265,49.06004992183462,0.0,0.0,0.0,118.84833076658632,74.9368351876744
427032553,864691135511392464,864691135359010904,49992,4P,E,23P,E,17424,7628,9796,0.7786851776235199,516.2619766708755,0.8215186867987876,131.90208,133.0,8.581303766926483,66.64105230577597,0.0,0.0,0.0,164.85230315336972,135.52037583425158
354819335,864691135526672731,864691135404380142,5684,4P,E,5P-IT,E,6159,3153,3006,1.0489021956087825,390.0548698896889,0.5087081073716938,134.49143466666666,136.0,8.784829421701836,54.68912086338133,0.0,0.0,0.0,130.64151981597428,70.27473278717501
367648743,864691135987854083,864691134940847459,440,6P-CT,E,6P-IT,E,15323,3785,11538,0.328046455191541,548.4446968344225,0.6401591873417444,134.20948414814814,134.0,7.370299151110477,62.53673491484575,0.0,0.0,0.0,157.3187190676127,137.2131761207841
377857955,864691136009658542,864691135495084176,8304,6P-IT,E,5P-NP,E,9893,3983,5910,0.6739424703891709,425.5046173579947,0.6866403465783789,143.09444888888888,143.0,7.013067591077195,54.60379290851314,0.0,0.0,0.0,127.85196304097764,103.573189187949
283086517,864691135273176593,864691136124471590,220,6P-IT,E,6P-IT,E,20483,12153,8330,1.4589435774309725,563.7817459305202,0.8098067801172878,135.9695208888889,136.0,4.8951708843255775,63.24843429156051,0.0,0.0,0.0,179.99090273698957,150.9839190344767
475212471,864691136084065644,864691135946621732,7380,6P-CT,E,5P-IT,E,10794,5866,4928,1.1903409090909092,540.2031021678297,0.4648128545246037,138.15788266666667,138.0,7.769682115419995,61.58409648573334,0.0,0.0,0.0,157.65858384488783,85.22012533935438
262483910,864691135909985193,864691135012923542,6348,6P-CT,E,6P-IT,E,9140,5082,4058,1.2523410547067522,417.36248173426384,0.6593700967784634,129.3741688888889,129.0,5.72188811219807,57.199690099929065,0.0,0.0,0.0,143.45718827731952,83.95836772836053
318399522,864691136328912618,864691135123805735,824,23P,E,4P,E,11859,4613,7246,0.6366271046094397,783.3107499061546,0.2428788845552788,129.09717155555555,129.0,8.721032833832869,66.8922301197819,0.0,0.0,0.0,171.12911432989006,128.65426489659976
91883546,864691135658974082,864691135441497928,1864,5P-IT,E,5P-ET,E,7431,1832,5599,0.32720128594391856,379.3624817342638,0.6488560671256699,126.61112533333333,128.0,11.401917949979703,55.20740263676836,0.0,0.0,0.0,126.93824238529166,80.48953272640516
463626970,864691135867570454,864691135494981264,3984,6P-IT,E,6P-IT,E,7176,1494,5682,0.26293558606124606,480.5756851698602,0.39045294823932347,139.10376177777778,139.0,7.464641849272932,57.43426503764814,0.0,0.0,0.0,128.08791450977554,82.99990800891503
76500889,864691135989263360,864691136105642883,2960,6P-CT,E,6P-CT,E,13641,8734,4907,1.7799062563684531,516.1381310103741,0.6434638946014202,132.44559466666666,133.0,8.123152320082422,57.70234669124721,0.0,0.0,0.0,202.4578703142846,88.43555052216776
401568713,864691135772435275,864691135561356769,2764,4P,E,4P,E,10015,8965,1050,8.538095238095238,551.8305191657993,0.41328475581808854,127.64650666666667,127.0,5.585587758816172,37.30809818527967,0.0,0.0,0.0,119.70690533779535,105.67188309486369
480788242,864691135135632153,864691135976424003,2852,6P-IT,E,6P-IT,E,4749,3968,781,5.080665813060179,386.67009357883865,0.3991451592239319,133.11379733333334,132.0,10.757057897555942,48.497942047060484,0.0,0.0,0.0,71.5340500147547,67.1350598648912
100044201,864691136362332898,864691135490901095,540,23P,E,6P-CT,E,17469,8901,8568,1.0388655462184875,568.095454429505,0.6801978897058696,129.89420533333333,130.0,8.071624009774709,60.860663915907004,0.0,0.0,0.0,186.33911456372863,130.3375987351359
260575315,864691135942113396,864691136273659838,12988,23P,E,23P,E,7598,4318,3280,1.3164634146341463,411.167568261897,0.5647697802671677,129.86700148148148,129.0,6.169718234877147,41.68462038057592,0.0,0.0,0.0,11.393781692384609,5.3423508968670035
369872766,864691136031712955,864691135257151151,17128,4P,E,6P-CT,E,6414,3711,2703,1.3729189789123197,344.9482681718907,0.677377679292806,130.17098133333334,131.0,7.275071656408185,43.9535441116246,0.0,0.0,0.0,103.99866432186073,80.29247431261676
397868627,864691135884877424,864691136110206904,8464,4P,E,BC,I,15465,6436,9029,0.7128142651456418,601.4274528917194,0.5372708671464499,147.63204,148.0,8.765087620438,68.98782284779034,0.0,0.0,0.0,160.0160881866758,142.6719014941236
411038906,864691135698664469,864691135114149785,11848,NGC,I,4P,E,6962,6236,726,8.589531680440771,338.14927829866735,0.7651154173605973,132.4280082962963,132.0,5.61972963714428,40.5877951041621,0.0,0.0,0.0,106.91737192273725,83.88822572737246
302566306,864691136085069932,864691136926255178,2268,5P-IT,E,4P,E,6311,5012,1299,3.8583525789068513,542.3391411371508,0.2696287176153655,138.27528414814816,138.0,7.838086272525715,38.32728572036386,0.0,0.0,0.0,148.23376044828487,71.69231169261069
306550381,864691136723359997,864691135386183765,276,4P,E,4P,E,8362,4450,3912,1.137525562372188,492.5340546095176,0.4331591569995342,131.09956385185185,129.0,9.725780749510681,65.4839892261112,0.0,0.0,0.0,19.449968148451813,5.2091002278109
269097830,864691135464525893,864691135578068997,6364,5P-IT,E,6P-IT,E,14852,4878,9974,0.4890715861239222,497.9655121145938,0.7526555585309169,130.07064296296295,131.0,5.877233748520366,56.12745247716426,0.0,0.0,0.0,163.17076315224605,118.71633690272212
299446767,864691135082733559,864691135359599448,7056,23P,E,5P-NP,E,7755,3894,3861,1.0085470085470085,411.9838020778234,0.5741579513876336,134.4078,134.0,5.71428747808703,67.08240430223027,0.0,0.0,0.0,154.0897492351165,70.29398165780113
303760664,864691135338712038,864691135446319250,1564,6P-IT,E,5P-IT,E,8706,5014,3692,1.35807150595883,537.5168106668145,0.3786556351718043,131.26107377777777,131.0,6.473283250261213,64.14233749254423,0.0,0.0,0.0,174.33143015580052,91.79994212420135
9263820,864691136423497263,864691136828389092,324,23P,E,23P,E,19917,10860,9057,1.1990725405763498,690.4213562373095,0.5250556717952998,121.266104,121.0,7.072832671180432,71.3615924032014,0.0,0.0,0.0,172.87676709648406,158.00766074664858
197507409,864691136066426008,864691135740439188,4124,6P-CT,E,6P-IT,E,7025,2170,4855,0.446961894953656,375.4629867976521,0.6262127867968991,136.2787037037037,137.0,9.543394369792845,61.57393773511653,0.0,0.0,0.0,144.5935539768523,64.95686998459877
417843797,864691136194422742,864691136952638687,396,23P,E,23P,E,9594,3456,6138,0.5630498533724341,632.8010819142764,0.3010753168852146,136.51867733333333,137.0,8.799690780015297,92.0537664383488,0.0,0.0,0.0,201.01970040945912,82.35133078803264
313939441,864691135937687044,864691135800700002,5140,5P-IT,E,6P-IT,E,4694,2396,2298,1.042645778938207,283.07821048680194,0.736105506111069,133.55630992592592,134.0,6.799638781774558,39.048833727222814,0.0,0.0,0.0,91.68220686923063,67.42501578587247
223540014,864691135349326551,864691135446530706,5972,23P,E,6P-IT,E,7805,5146,2659,1.9353140278300114,412.7056274847714,0.5758402128806138,135.7520888888889,136.0,8.760693745121014,66.1278901293014,0.0,0.0,0.0,147.28972103353527,74.46139866602267
93327109,864691135383590891,864691135502977205,368,4P,E,4P,E,1072,783,289,2.709342560553633,134.0538238691624,0.7496287527498567,129.8955674074074,130.0,6.884657934178099,19.41001893117969,0.0,0.0,0.0,47.76182026633277,29.958303309563487
